MSZoning,LotAreaInThousand,LotArea,LotShape,Utilities,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Heating,CentralAir,Electrical,1stFlrSFInHundred,1stFlrSF,2ndFlrSFInHundred,2ndFlrSF,Functional,GarageType,GarageAreaInHundreds,GarageArea,PavedDrive,YrSold,SaleType,SaleCondition,SalePrice,SalesPriceInThousand
RL,8.45,8450,Reg,AllPub,1Fam,2Story,7,5,2003,GasA,Y,SBrkr,8.56,856,8.54,854,Typ,Attchd,5.48,548,Y,2008,WD,Normal,208500,208.5
RL,9.6,9600,Reg,AllPub,1Fam,1Story,6,8,1976,GasA,Y,SBrkr,12.62,1262,0,0,Typ,Attchd,4.6,460,Y,2007,WD,Normal,181500,181.5
RL,11.25,11250,IR1,AllPub,1Fam,2Story,7,5,2001,GasA,Y,SBrkr,9.2,920,8.66,866,Typ,Attchd,6.08,608,Y,2008,WD,Normal,223500,223.5
RL,9.55,9550,IR1,AllPub,1Fam,2Story,7,5,1915,GasA,Y,SBrkr,9.61,961,7.56,756,Typ,Detchd,6.42,642,Y,2006,WD,Abnorml,140000,140
RL,14.26,14260,IR1,AllPub,1Fam,2Story,8,5,2000,GasA,Y,SBrkr,11.45,1145,10.53,1053,Typ,Attchd,8.36,836,Y,2008,WD,Normal,250000,250
RL,14.115,14115,IR1,AllPub,1Fam,1.5Fin,5,5,1993,GasA,Y,SBrkr,7.96,796,5.66,566,Typ,Attchd,4.8,480,Y,2009,WD,Normal,143000,143
RL,10.084,10084,Reg,AllPub,1Fam,1Story,8,5,2004,GasA,Y,SBrkr,16.94,1694,0,0,Typ,Attchd,6.36,636,Y,2007,WD,Normal,307000,307
RL,10.382,10382,IR1,AllPub,1Fam,2Story,7,6,1973,GasA,Y,SBrkr,11.07,1107,9.83,983,Typ,Attchd,4.84,484,Y,2009,WD,Normal,200000,200
RM,6.12,6120,Reg,AllPub,1Fam,1.5Fin,7,5,1931,GasA,Y,FuseF,10.22,1022,7.52,752,Min1,Detchd,4.68,468,Y,2008,WD,Abnorml,129900,129.9
RL,7.42,7420,Reg,AllPub,2fmCon,1.5Unf,5,6,1939,GasA,Y,SBrkr,10.77,1077,0,0,Typ,Attchd,2.05,205,Y,2008,WD,Normal,118000,118
RL,11.2,11200,Reg,AllPub,1Fam,1Story,5,5,1965,GasA,Y,SBrkr,10.4,1040,0,0,Typ,Detchd,3.84,384,Y,2008,WD,Normal,129500,129.5
RL,11.924,11924,IR1,AllPub,1Fam,2Story,9,5,2005,GasA,Y,SBrkr,11.82,1182,11.42,1142,Typ,BuiltIn,7.36,736,Y,2006,New,Partial,345000,345
RL,12.968,12968,IR2,AllPub,1Fam,1Story,5,6,1962,GasA,Y,SBrkr,9.12,912,0,0,Typ,Detchd,3.52,352,Y,2008,WD,Normal,144000,144
RL,10.652,10652,IR1,AllPub,1Fam,1Story,7,5,2006,GasA,Y,SBrkr,14.94,1494,0,0,Typ,Attchd,8.4,840,Y,2007,New,Partial,279500,279.5
RL,10.92,10920,IR1,AllPub,1Fam,1Story,6,5,1960,GasA,Y,SBrkr,12.53,1253,0,0,Typ,Attchd,3.52,352,Y,2008,WD,Normal,157000,157
RM,6.12,6120,Reg,AllPub,1Fam,1.5Unf,7,8,1929,GasA,Y,FuseA,8.54,854,0,0,Typ,Detchd,5.76,576,Y,2007,WD,Normal,132000,132
RL,11.241,11241,IR1,AllPub,1Fam,1Story,6,7,1970,GasA,Y,SBrkr,10.04,1004,0,0,Typ,Attchd,4.8,480,Y,2010,WD,Normal,149000,149
RL,10.791,10791,Reg,AllPub,Duplex,1Story,4,5,1967,GasA,Y,SBrkr,12.96,1296,0,0,Typ,CarPort,5.16,516,Y,2006,WD,Normal,90000,90
RL,13.695,13695,Reg,AllPub,1Fam,1Story,5,5,2004,GasA,Y,SBrkr,11.14,1114,0,0,Typ,Detchd,5.76,576,Y,2008,WD,Normal,159000,159
RL,7.56,7560,Reg,AllPub,1Fam,1Story,5,6,1958,GasA,Y,SBrkr,13.39,1339,0,0,Min1,Attchd,2.94,294,Y,2009,COD,Abnorml,139000,139
RL,14.215,14215,IR1,AllPub,1Fam,2Story,8,5,2005,GasA,Y,SBrkr,11.58,1158,12.18,1218,Typ,BuiltIn,8.53,853,Y,2006,New,Partial,325300,325.3
RM,7.449,7449,Reg,AllPub,1Fam,1.5Unf,7,7,1930,GasA,Y,FuseF,11.08,1108,0,0,Typ,Attchd,2.8,280,N,2007,WD,Normal,139400,139.4
RL,9.742,9742,Reg,AllPub,1Fam,1Story,8,5,2002,GasA,Y,SBrkr,17.95,1795,0,0,Typ,Attchd,5.34,534,Y,2008,WD,Normal,230000,230
RM,4.224,4224,Reg,AllPub,TwnhsE,1Story,5,7,1976,GasA,Y,SBrkr,10.6,1060,0,0,Typ,Attchd,5.72,572,Y,2007,WD,Normal,129900,129.9
RL,8.246,8246,IR1,AllPub,1Fam,1Story,5,8,1968,GasA,Y,SBrkr,10.6,1060,0,0,Typ,Attchd,2.7,270,Y,2010,WD,Normal,154000,154
RL,14.23,14230,Reg,AllPub,1Fam,1Story,8,5,2007,GasA,Y,SBrkr,16,1600,0,0,Typ,Attchd,8.9,890,Y,2009,WD,Normal,256300,256.3
RL,7.2,7200,Reg,AllPub,1Fam,1Story,5,7,1951,GasA,Y,SBrkr,9,900,0,0,Typ,Detchd,5.76,576,Y,2010,WD,Normal,134800,134.8
RL,11.478,11478,Reg,AllPub,1Fam,1Story,8,5,2007,GasA,Y,SBrkr,17.04,1704,0,0,Typ,Attchd,7.72,772,Y,2010,WD,Normal,306000,306
